tipo,texto
spam,"¡Felicidades! Ganaste un iPhone completamente GRATIS. Haz clic aquí para reclamarlo."
spam,"Gana $500 al día trabajando desde casa. Regístrate ahora."
spam,"Tu cuenta será suspendida. Verifica tu información inmediatamente en este enlace."
spam,"Oferta limitada: consigue medicamentos con 70% de descuento aquí."
spam,"Has sido seleccionado para un premio exclusivo. Confirmalo ya."
spam,"Invierte en criptomonedas y duplica tu dinero en 24 horas."
spam,"Última oportunidad para reclamar tu reembolso. Ingresa tu tarjeta ahora."
spam,"Acceso VIP gratuito a contenido premium solo hoy. Haz clic aquí."
spam,"¡Tu paquete está retenido! Paga la tarifa de envío aquí para liberarlo."
spam,"Gana dinero rápido sin esfuerzo. Aprende cómo ahora."
spam,"Consigue seguidores y likes ilimitados totalmente gratis."
spam,"Retira tus ganancias ahora. Tu saldo está listo para cobrar."
spam,"Aumenta tu crédito en minutos usando este método secreto."
spam,"Tu contraseña expiró. Restablécela en este enlace seguro."
spam,"Multiplica tus ingresos con este software automático."
spam,"No pierdas esta oportunidad única de negocio. Contáctanos."
spam,"Ahorra miles comprando desde este sitio oculto."
spam,"Registra tu tarjeta para obtener tu premio asegurado."
spam,"Gana un viaje todo incluido. Solo completa este formulario."
spam,"Actualiza tu información bancaria para evitar cargos."
spam,"Tu cuenta fue comprometida. Ingresa aquí para protegerla."
spam,"Obtén préstamos inmediatos sin verificación de crédito."
spam,"Haz clic para acceder a fotos exclusivas antes de que expiren."
spam,"Has sido elegido para recibir una compensación gubernamental."
spam,"Recibe pagos diarios solo por responder encuestas."
spam,"Tus impuestos tienen un reembolso pendiente. Revísa tu caso aquí."
spam,"Aumenta tu rendimiento físico con este suplemento milagroso."
spam,"Tu tarjeta será bloqueada. Valida tu identidad ahora."
spam,"Haz crecer tu negocio con esta herramienta automatizada."
spam,"Invierte ahora y obtén ganancias garantizadas."
spam,"Activa tu cuenta premium sin pagar nada."
spam,"Recibe alertas de inversión que te harán millonario."
spam,"Tu dispositivo está infectado. Descarga el antivirus aquí."
spam,"Participa en nuestro sorteo por un auto nuevo."
spam,"Descubre cómo hacer dinero mientras duermes."
spam,"Este truco financiero está cambiando vidas. Entra ahora."
spam,"Tu suscripción fue suspendida. Reingresa tus datos."
spam,"Obtén acceso a documentos privados con este enlace."
spam,"No pagues más por electricidad; mira este truco."
ham,"Hola, ¿vas a venir a la reunión mañana?"
ham,"Te envío el archivo que me pediste ayer."
ham,"¿A qué hora nos vemos para cenar?"
ham,"El profesor cambió la fecha del examen."
ham,"¿Puedes revisar este documento cuando tengas tiempo?"
